,Country,Democracy,Expectancy,PopulationD,Gini,AgeMed,Skyscraper,Children,PressF,Overall score,Rank,Electoral process,Functioning gov,Political participation,Political culture,Civil liberties
48,Fiji,0,68.3,48.7,36.7,27.9,65.0,2.45,27.18,5.85,81,6.58,5.36,6.11,5.63,5.59
49,Finland,1,81.8,18.2,27.1,43.1,134.0,1.78,7.9,9.25,5,10.0,8.93,8.89,8.75,9.71
50,France,1,83.1,119.0,32.7,42.3,231.0,1.97,22.21,8.12,20,9.58,7.86,7.78,6.88,8.53
51,Gabon,0,69.0,8.43,38.0,22.5,54.0,3.59,35.6,3.61,121,2.58,2.21,4.44,5.0,3.82
52,Gambia,0,66.4,232.0,35.9,17.8,43.0,5.22,31.35,4.33,107,4.0,4.29,3.33,5.63,4.41
53,Georgia,0,73.2,57.5,36.5,38.3,200.0,1.97,28.98,5.42,89=,7.83,3.21,6.11,4.38,5.59
54,Germany,1,80.9,240.0,31.7,45.7,300.1,1.48,14.6,8.68,13,9.58,8.57,8.33,7.5,9.41
55,Ghana,1,66.1,134.0,42.4,21.5,92.0,3.81,20.81,6.63,55=,8.33,5.71,6.67,6.25,6.18
56,Greece,1,81.3,81.3,36.0,45.5,103.0,1.3,29.08,7.43,39,9.58,4.86,6.67,7.5,8.53
57,Guatemala,0,73.1,164.0,48.3,22.9,101.0,2.82,35.94,5.26,93,6.92,4.64,3.89,4.38,6.47
58,Guinea,0,61.6,52.0,33.7,18.0,100.0,4.62,33.49,3.14,132=,3.5,0.43,4.44,4.38,2.94
59,Guinea-Bissau,0,60.7,68.3,50.7,18.8,52.0,4.41,30.95,2.63,148,4.92,0.0,2.78,3.13,2.35
60,Guyana,1,69.5,3.98,43.2,26.7,32.0,2.44,26.63,6.15,71=,6.92,5.36,6.11,5.0,7.35
61,Haiti,0,65.7,409.0,50.9,24.0,49.0,2.77,29.0,4.57,105,4.75,2.07,3.89,6.25,5.88
62,Honduras,0,74.3,87.1,50.1,24.3,122.5,2.35,48.53,5.42,89=,7.83,4.29,4.44,4.38,6.18
63,Hong Kong,1,84.68,6659.0,53.9,43.2,484.0,1.12,29.65,6.02,75=,3.58,4.36,6.11,7.5,8.53
64,Hungary,1,77.2,107.0,30.4,43.3,100.0,1.41,30.44,6.63,55=,8.75,6.07,5.0,6.25,7.06
65,Iceland,1,83.0,3.38,27.8,37.5,76.0,1.91,14.71,9.58,2,10.0,9.29,8.89,10.0,9.71
66,India,1,69.5,460.0,35.1,28.4,320.0,2.26,45.67,6.9,51,8.67,6.79,6.67,5.63,6.76
67,Indonesia,1,71.9,149.0,38.2,29.7,288.6,2.29,36.77,6.48,64,7.92,7.14,6.11,5.63,5.59
68,Iran,0,77.8,50.9,38.8,32.0,162.5,1.59,64.41,2.38,151,0.0,2.86,4.44,3.13,1.47
69,Iraq,0,77.1,90.5,29.5,21.0,155.0,4.19,52.6,3.74,118,5.25,0.0,6.67,5.0,1.76
70,Ireland,1,82.3,70.9,31.8,38.2,79.0,1.98,15.0,9.24,6,10.0,7.86,8.33,10.0,10.0
71,Israel,1,83.3,394.0,41.4,30.5,238.5,2.89,30.8,7.86,28,9.17,7.86,8.89,7.5,5.88
72,Italy,1,83.5,206.0,35.4,47.3,231.0,1.51,24.98,7.52,35,9.58,6.07,7.78,6.25,7.94
73,Jamaica,1,74.9,272.0,45.5,30.7,60.0,1.97,11.13,6.96,50,8.75,7.14,4.44,6.25,8.24
74,Japan,1,84.5,348.0,32.1,48.4,300.0,1.5,29.36,7.99,24,8.75,8.21,6.67,7.5,8.82
75,Jordan,0,79.6,114.0,33.7,23.8,188.0,3.18,43.11,3.93,114=,3.58,4.29,3.89,4.38,3.53
76,Kazakhstan,0,72.8,6.87,26.9,30.7,210.0,2.54,52.82,2.94,139,0.5,2.14,4.44,4.38,3.24
77,Kenya,0,66.7,92.4,40.8,20.1,200.0,3.68,32.44,5.18,94,3.5,5.71,6.67,5.63,4.41
78,Kuwait,0,83.3,236.0,40.0,36.8,412.6,1.94,33.86,3.93,114=,3.58,4.29,3.89,4.38,3.53
79,Kyrgyz Republic,0,73.0,33.5,26.8,26.0,75.0,2.86,29.92,4.89,101,6.08,2.93,6.67,3.75,5.0
80,Laos,0,67.28,32.0,36.4,24.4,65.0,2.71,64.49,2.14,155,0.0,2.86,1.67,5.0,1.18
81,Latvia,1,75.4,30.7,34.2,43.9,130.0,1.59,19.53,7.49,38,9.58,6.07,6.11,6.88,8.82
82,Lebanon,0,78.1,670.0,31.8,29.6,195.2,1.7,32.44,4.36,106,3.92,1.5,6.67,5.0,4.71
83,Lesotho,1,56.1,70.0,54.2,24.0,36.0,2.95,29.74,6.54,60=,9.17,4.5,6.67,5.63,6.76
84,Liberia,0,65.2,51.3,33.2,19.4,36.0,4.38,31.49,5.45,88,7.42,3.07,5.56,5.63,5.59
85,Libya,0,73.3,3.85,40.0,28.8,144.0,2.16,55.77,2.02,156,0.0,0.0,2.78,4.38,2.94
86,Lithuania,1,75.4,44.0,37.4,45.1,129.0,1.68,22.06,7.5,36=,9.58,6.43,6.11,6.25,9.12
87,Luxembourg,1,82.0,238.0,33.8,39.7,107.0,1.61,15.66,8.81,12,10.0,8.93,6.67,8.75,9.71
88,Madagascar,0,64.2,46.4,42.7,19.6,125.0,4.02,27.76,5.64,85,7.92,3.57,6.11,5.63,5.0
89,Malawi,0,64.2,198.0,45.5,18.1,43.0,4.38,29.36,5.5,87,6.08,4.29,5.0,6.25,5.88
90,Malaysia,1,75.0,97.2,41.0,30.3,451.9,1.98,36.74,7.16,43=,9.17,7.86,6.67,6.25,5.88
91,Mali,0,62.9,16.1,33.0,16.3,80.0,5.79,35.23,4.92,100,6.42,3.07,3.89,5.63,5.59
92,Malta,1,81.3,1380.0,29.4,42.6,97.5,1.49,29.74,7.95,26,9.17,7.5,6.11,8.13,8.82
93,Mauritania,0,71.0,4.39,32.6,20.1,54.0,4.49,31.65,3.92,116,3.5,3.57,5.0,3.13,4.41
94,Mauritius,1,75.0,625.0,35.8,37.5,124.0,1.42,28.46,8.22,18,9.17,8.21,5.56,8.75,9.41
95,Mexico,1,75.6,65.6,45.9,29.2,305.3,2.09,46.78,6.09,73,7.83,6.07,7.22,3.13,6.18
96,Moldova,0,73.1,123.0,26.4,37.6,91.0,1.23,31.21,5.75,83,6.58,4.64,6.11,4.38,7.06
97,Mongolia,1,69.3,2.08,32.4,28.2,120.0,2.63,29.51,6.5,62,9.17,5.71,5.56,5.0,7.06
98,Montenegro,0,76.7,46.7,31.9,38.8,65.0,1.65,32.74,5.65,84,5.67,5.36,6.11,4.38,6.76
99,Morocco,0,74.4,81.7,39.6,29.5,210.0,2.38,43.98,5.1,96,5.25,4.64,5.56,5.63,4.41
100,Mozambique,0,59.9,38.6,54.0,17.6,130.0,5.05,32.66,3.65,120,2.58,2.14,5.0,5.0,3.53
101,Myanmar,0,69.1,82.7,38.1,29.0,122.0,2.15,44.92,3.55,122=,3.08,3.93,2.78,5.63,2.35
102,Namibia,1,67.2,3.03,59.1,21.8,100.0,3.24,18.95,6.43,65,6.58,5.36,6.67,5.63,7.94
103,Nepal,0,71.5,200.0,32.8,24.6,68.0,2.02,33.4,5.28,92,4.83,5.36,5.0,5.63,5.59
104,Netherlands,1,81.8,507.0,28.2,43.3,164.8,1.75,8.63,9.01,11,9.58,9.29,8.33,8.75,9.12
105,New Zealand,1,81.9,18.2,35.0,38.0,180.1,1.96,10.75,9.26,4,10.0,9.29,8.89,8.13,10.0
106,Nicaragua,0,79.2,54.4,46.2,26.5,70.0,2.12,35.53,3.55,122=,1.25,2.86,3.89,5.63,4.12
107,Niger,0,63.2,18.4,34.3,15.2,56.0,7.07,29.26,3.29,127,2.92,1.14,3.33,4.38,4.71
108,Nigeria,0,65.2,221.0,43.0,18.1,160.0,5.32,36.5,4.12,109,5.17,3.93,3.33,3.75,4.41
109,North Korea,0,72.4,213.0,37.0,35.3,330.0,1.88,83.4,1.08,167,0.0,2.5,1.67,1.25,0.0
110,North Macedonia,0,76.8,82.6,35.6,39.1,138.0,1.56,31.66,5.97,77,7.0,5.36,6.67,3.75,7.06
111,Norway,1,82.6,14.7,27.5,39.8,117.0,1.83,7.82,9.87,1,10.0,9.64,10.0,10.0,9.71
112,Oman,0,77.6,16.1,40.0,30.6,53.0,2.46,43.42,3.06,137=,0.08,3.93,2.78,4.38,4.12
113,Pakistan,0,67.2,281.0,33.5,22.8,273.0,3.29,45.83,4.25,108,6.08,5.71,2.22,2.5,4.71
114,Palestine,0,77.2,827.0,33.7,20.8,76.0,3.82,44.68,3.89,117,3.33,0.14,7.78,4.38,3.82
115,Panama,1,79.7,57.1,50.4,29.7,284.0,2.43,29.78,7.05,46,9.58,6.07,6.67,5.0,7.94
116,Papua New Guinea,1,58.9,19.4,41.9,22.4,90.0,3.52,24.7,6.03,74,6.92,6.07,3.89,5.63,7.65
117,Paraguay,1,76.4,17.7,47.9,26.3,145.0,2.4,32.4,6.24,70,8.75,5.71,5.0,4.38,7.35
118,Peru,1,80.8,25.4,43.8,31.0,140.1,2.31,30.22,6.6,58,9.17,5.0,5.56,5.63,7.65
119,Philippines,1,70.0,363.0,42.2,25.7,318.0,2.84,43.91,6.64,54,9.17,5.36,7.22,4.38,7.06
120,Poland,1,78.4,124.0,30.8,41.7,187.68,1.29,28.89,6.62,57,9.17,6.07,6.11,4.38,7.35
121,Portugal,1,81.8,112.0,35.5,46.2,120.0,1.24,12.63,8.03,22,9.58,7.86,6.11,7.5,9.12
122,Qatar,0,80.5,244.0,40.0,32.3,300.0,1.85,42.51,3.19,128,0.0,4.29,2.22,5.63,3.82
123,Romania,1,75.4,84.1,28.3,43.2,137.0,1.55,25.67,6.49,63,9.17,5.71,5.56,4.38,7.65
124,Russia,0,72.5,8.91,37.7,39.6,462.0,1.77,50.31,3.11,134=,2.17,1.79,5.0,2.5,4.12
125,Rwanda,0,69.1,512.0,45.1,20.0,90.0,3.67,52.43,3.16,129=,1.42,4.29,2.78,4.38,2.94
126,Saudi Arabia,0,77.1,15.9,40.0,31.8,601.0,2.42,65.88,1.93,159=,0.0,2.86,2.22,3.13,1.47
127,Senegal,0,68.6,84.6,40.3,18.5,76.2,4.55,25.81,5.81,82,6.08,6.07,4.44,6.25,6.18
128,Serbia,1,76.0,100.0,34.1,41.6,141.0,1.63,31.18,6.41,66,8.25,5.36,6.11,5.0,7.35
129,Sierra Leone,0,61.3,108.0,34.0,19.4,64.0,4.17,30.36,4.86,102=,6.58,2.86,3.33,6.25,5.29
130,Singapore,1,85.1,8290.0,40.9,42.2,290.0,1.27,51.41,6.02,75=,3.92,7.86,5.0,6.25,7.06
131,Slovakia,1,77.7,113.0,26.5,41.2,125.0,1.48,23.58,7.17,42,9.58,7.14,5.56,5.63,7.94
132,Slovenia,1,81.4,103.0,25.4,44.5,89.0,1.65,22.31,7.5,36=,9.58,6.79,6.67,6.25,8.24
133,South Africa,1,66.9,48.3,63.0,27.6,234.0,2.38,22.19,7.24,40,7.42,7.5,8.33,5.0,7.94
134,South Korea,1,83.0,527.0,31.6,43.7,555.7,1.35,24.94,8.0,23,9.17,7.86,7.22,7.5,8.24
135,Spain,1,83.3,93.7,36.2,44.9,249.0,1.41,21.99,8.29,16=,9.58,7.14,7.78,8.13,8.82
136,Sri Lanka,1,77.8,340.0,39.8,34.0,240.0,2.01,39.61,6.27,69,7.0,6.07,5.56,6.25,6.47
137,Sudan,0,70.8,24.3,35.4,19.7,130.0,4.35,72.45,2.7,147,0.0,1.79,5.56,5.0,1.18
138,Suriname,1,72.3,3.73,61.0,29.0,44.0,2.3,16.38,6.98,49,9.17,6.43,6.67,5.0,7.65
139,Sweden,1,82.8,24.5,29.0,41.1,190.0,1.91,8.31,9.39,3,9.58,9.64,8.33,10.0,9.41
140,Switzerland,1,84.3,217.0,32.3,43.1,178.0,1.56,10.52,9.03,10,9.58,9.29,7.78,9.38,9.12
141,Syria,0,71.5,93.0,35.2,25.6,120.2,2.77,71.78,1.43,164,0.0,0.0,2.78,4.38,0.0
142,Taiwan,1,80.4,649.0,33.8,42.5,508.0,1.13,24.98,7.73,31,9.58,8.21,6.11,5.63,9.12
143,Tajikistan,0,70.8,66.6,34.0,22.4,92.0,3.22,54.02,1.93,159=,0.08,0.79,1.67,6.25,0.88
144,Tanzania,0,67.7,65.5,37.8,18.0,152.7,4.83,36.28,5.16,95,5.75,5.0,5.0,5.63,4.41
145,Thailand,1,78.6,136.0,36.0,40.1,317.0,1.44,44.1,6.32,68,7.42,5.36,6.11,6.25,6.47
146,East Timor,1,71.3,87.0,28.7,20.8,36.0,4.09,29.93,7.19,41,9.58,6.29,5.56,6.88,7.65
147,Togo,0,65.0,149.0,43.1,19.4,102.0,4.26,29.69,3.3,126,3.17,1.79,3.33,5.0,3.24
148,Trinidad and Tobago,1,74.5,272.0,41.3,36.2,120.0,1.72,24.74,7.16,43=,9.58,7.14,6.11,5.63,7.35
149,Tunisia,1,78.7,75.3,35.8,32.8,83.0,2.12,29.61,6.72,53,9.17,5.71,7.22,5.63,5.88
150,Turkey,0,79.5,108.0,41.9,31.5,293.0,2.0,52.81,4.09,110,3.08,5.0,5.0,5.0,2.35
151,Turkmenistan,0,70.3,12.6,46.4,26.9,106.7,2.74,85.44,1.72,162,0.0,0.79,2.22,5.0,0.59
152,Uganda,0,66.6,222.0,42.8,16.7,90.0,5.32,39.42,5.02,99,4.33,3.57,4.44,6.88,5.88
153,Ukraine,0,70.8,75.9,25.0,41.2,162.6,1.58,32.46,5.9,78,7.42,2.71,6.67,6.25,6.47
154,United Arab Emirates,0,73.6,117.0,40.0,32.6,828.0,1.7,43.63,2.76,145,0.0,3.93,2.22,5.0,2.65
155,United Kingdom,1,81.1,279.0,33.2,40.5,309.7,1.87,22.23,8.52,14,9.58,7.5,8.89,7.5,9.12
156,United States,1,78.6,36.0,41.5,38.3,541.3,1.9,25.69,7.96,25,9.17,7.14,7.78,7.5,8.24
157,Uruguay,1,77.3,19.8,39.7,35.8,160.0,1.96,16.06,8.38,15,10.0,8.57,6.11,7.5,9.71
158,Uzbekistan,0,70.7,77.5,33.5,27.8,108.0,2.21,53.52,2.01,157,0.08,1.86,2.22,5.0,0.88
159,Venezuela,0,75.1,32.3,46.9,29.6,262.5,2.25,49.1,2.88,140,0.0,1.79,5.0,4.38,3.24
160,Vietnam,0,74.7,311.0,35.3,32.5,461.2,1.94,74.93,3.08,136,0.0,3.21,3.89,5.63,2.65
161,Yemen,0,68.1,55.2,36.7,20.2,100.0,3.69,61.66,1.95,158,0.0,0.0,3.89,5.0,0.88
162,Zambia,0,64.0,24.0,57.1,17.6,90.0,4.81,36.38,5.09,97=,4.75,2.93,4.44,6.88,6.47
163,Zimbabwe,0,62.0,37.9,43.2,18.7,120.0,3.53,42.23,3.16,129=,0.0,2.5,4.44,5.63,3.24
